RELEVANT,CATEGORY,CATEGORICAL SENTIMENT,GENERAL SENTIMENT,JUSTIFICATION,ID
RELEVANT,FOREIGNPOLICY,PRO,PRO,"[NON-OBVIOUS] I initially classified the statement as REFERENCE, but changed it to FOREIGNPOLICY because I thought the message this statement delivers is how unmanned drones do not violate no-fly zone and yet demonstrate U.S. resolution.",5416e40b30ef3bd3783662fc8f1f942d
IRRELEVANT,,,,The statement refers to the domestic use of drones. ,4f4e3b6bd1284ed15ba1231ba1672a88
RELEVANT,FOREIGNUSE,NEUTRAL,,"The statement mentions drones in the context of discredited allegations that Iraq had military drones. I leave general sentiment blank because the statement mentions drones not to discuss drone programs or strikes per se, but to criticize the Iraq War.  ",8054ffa9d70e63b2766d9ec9f1b6b478
IRRELEVANT,,,,The statement refers to the use of drones in the U.S. homeland.,ffa5d2051c58fc46a0fd021aeb135742
RELEVANT,DISCLOSURE,ANTI,NEUTRAL,The statement is critical of the media divulging classified information regarding drone strikes. ,e1cda220e83bd9c7b05f92cd088b776b
RELEVANT,DISCLOSURE,ANTI,NEUTRAL,The statement refers to drone strikes in the context of journalism divulging classified information.,f4a390acf29730817311f610313aba08
RELEVANT,DISCLOSURE,ANTI,PRO,The statement discusses how confidentiality is key to conducting drone strikes effectively. ,d0afa7ab3de07bc34aa5affa9f527333
RELEVANT,DISCLOSURE,ANTI,PRO,The statement discusses how leaks of information damage the effectiveness of drone strikes and those who divulged the information should be held accountable.,1a9259e975f29c934ebac9457d30f943
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,The statement points out that drone programs are classified information. ,fe24aa815f7f3acc13c9cae5fa4c8ec6
RELEVANT,"FOREIGNPOLICY,DISCLOSURE","PRO,ANTI",PRO,"The statement discusses how effective drone strikes can be in curbing radical terrorists, but points out how leaks of information allowed enemies to learn U.S. decision-making processes.",ae5380a78e6b6649dcad18daa2066efa
RELEVANT,DISCLOSURE,ANTI,PRO,The statement points out how drone programs are covert programs and should not be discussed publicly in principle.,06d592ee20e63ea806c361ce3093ee45
RELEVANT,REFERENCE,ANTI,ANTI,"The statement argues that empowering people through SMART security, instead of attacking them with drones, is the right thing to do.",6b59f4c9c31595bad0129bfa77168608
RELEVANT,FOREIGNPOLICY,PRO,NEUTRAL,"The statement refers to a drone strike in Pakistan that successfully decapitated a leader of a terrorist organization (pro categorical sentiment). However, the essence of the statement relates to Pakista's responsibility to cooperate in fighting and not harboring terrorists.  ",2ee78783b2182feb9006f903dd3ea736
IRRELEVANT,,,,The statement lists names of military officials.,37ef09ab9b48fe460d9e809cf3708b2c
RELEVANT,"FOREIGNPOLICY,INTERNATIONAL-LEGALITY,DOMESTIC-LEGALITY","ANTI,ANTI,ANTI",NEUTRAL,"[NON-OBVIOUS] The statement discusses how unrestricted use of drones embroils the United States in unwanted wars and violates international and domestic laws. However, I marked it as NON-OBVIOUS because the statement talks about ""unrestricted"" use of drones specifically, not drone strikes in general (neutral general sentiment).",c9a775dd5ab2417209003ba9100b73cf
RELEVANT,"FOREIGNPOLICY, HUMANITARIAN,DOMESTIC-LEGALITY","ANTI,ANTI,ANTI",NEUTRAL,"The statement continues to discuss brutality of drone strikes--they kill innocent civilians, not just militants--and the lack of clear rules and legal justification.",f56da6cd8f559d2422dc25ed8a2eba29
RELEVANT,"FOREIGNPOLICY,HUMANITARIAN,DOMESTIC-LEGALITY","ANTI,ANTI,NEUTRAL",NEUTRAL,"The statement discusses how unrestricted use of drones not only can be interpreted as an act of war but also kills innocent civilians. For such a reason, it demands legal justification for drone strikes.",295f5c6d8cdfb5978e342fe40153a6d7
RELEVANT,DOMESTIC-LEGALITY,NEUTRAL,NEUTRAL,The statement points out that a bill should regulate the use of drones against American citizens.,49ab71fb971c74816fbcc1a3910c4f82
RELEVANT,FOREIGNPOLICY,PRO,PRO,The statement discusses how unmanned drone strikes can effectively win battles.,ea80d97913a532475263ff18687625fb
IRRELEVANT,,,,The statement refers to drones in a surveillance role. ,fd6920515b619d81ec342002ba9b66bc
RELEVANT,"FOREIGNPOLICY,FINANCE","PRO,PRO",PRO,"The statement discusses how investing more on military readiness is crucial to national security, and especially so when it comes to fighting ISIL with aerial vehicles including drones. ",4a2b01206a762fb6ce6be52656367320
RELEVANT,"FOREIGNPOLICY,FINANCE","PRO,NEUTRAL",PRO,The statement explains that drones have become successful in fighting the war against terror but the Pentagon has not included them in budget requests. ,bf7d8693ff43608aa360728723bc5049
RELEVANT,"FOREIGNPOLICY,JOBS,FINANCE","PRO,PRO,NEUTRAL",PRO,The statement discusses how drones contribute to conducting operations successfully and creating jobs. It also mentions the specific figure invested in drones. ,bb2fbe1ff25722ce43cb39c7e508138a
IRRELEVANT,,,,The statement discusses drones in a surveillance role.,bc6d82da1b6feecd80895bdd80413096
RELEVANT,"FOREIGNPOLICY,HUMANITARIAN","ANTI,ANTI",ANTI,The statement discusses how drone strikes kill civilians and antagonize the local populations.,0154c5bdeaab8f7394e5c7f390bdfe30
RELEVANT,FOREIGNPOLICY,ANTI,ANTI,The statement discusses how drone strikes propagate extremism in targeted areas.,e7ef9ced9036419a9694baa0abd8cb59
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,"The statement is somewhat ambiguous in the sense whether the speaker supports or opposes drone attacks, but does mention that drones alone are insufficient (neutral general sentiment).",6a6469f7b81ab16e5f510c2dd83f73e3
RELEVANT,"FOREIGNPOLICY,HUMANITARIAN,FINANCE","ANTI,ANTI,ANTI",ANTI,The statement opposes funding drone projects because drone strikes are counterproductive as they inflame the radicals and kills civilians.,b636c6e3c54dac12339412bc82b2fc35
IRRELEVANT,,,,The statement mentions drones in a surveillance role.,66680773bc76f116d1e6cfc12df677e3
IRRELEVANT,,,,The statement refers to drones in a surveillance role. ,10af3b34fb16948e5a4d547a47757ead
RELEVANT,FOREIGNPOLICY,PRO,PRO,The statement discusses how cooperation between the U.S. and Israeli Air Force has improved operability of drones. ,77389fb40dc2197cf34bc85811cf38ae
RELEVANT,"FOREIGNUSE,HUMANITARIAN","ANTI,ANTI",ANTI,"The statement refers to potential drone strikes by Hezbollah, which killed Israeli citizens.",46928aad2c483e1af782832cc6618b64
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,The statement discusses how tax cuts attract businesses including a company that builds drones. ,5949febf8e2e6d8fe3f2231a69278caa
IRRELEVANT,,,,The statement mentions the use of drones domestically for the purpose of monitoring.,809c29e9354adb20e24594d023895302
RELEVANT,FINANCE,PRO,PRO,The statement supports funding for drones. ,d350bfd2680dbfc9d74d7bc54d852f91
RELEVANT,DOMESTIC-LEGALITY,NEUTRAL,NEUTRAL,"The statement refers to amendments for important topics including drones, but it is unclear whether the speaker supports or opposes the use of drones.",23d93a15cdd5a1f945a71539310ff793
RELEVANT,DOMESTIC-LEGALITY,NEUTRAL,NEUTRAL,The statement discusses the significance of regulating the use of drones.,8a1bd079123f60692a2b0d487972bdd4
RELEVANT,DOMESTIC-LEGALITY,NEUTRAL,NEUTRAL,The statement discusses the significance of regulating the use of drones.,deb6d2b94f25ad2133f4e7a60fc1a5d1
IRRELEVANT,,,,"The statement refers to a drone used domestically, if not civilian drones. ",ebcb0cac63e73d0af76ad033c7b6f276
IRRELEVANT,,,,"The statement refers to a drone used domestically, if not civilian drones. ",e28fa12c0e12c3cab92710c7a4087b82
IRRELEVANT,,,,The statement pertains to civilian drones.,06edc664edd7c181c1d442aa7093331c
IRRELEVANT,,,,The statement pertains to the use of drones in a domestic context. ,c6a9d444c5d09193cdac38425ed79bef
IRRELEVANT,,,,The statement pertains to the use of drones in a domestic context.,13ac7bc5081e7303ccddfa291e99e392
IRRELEVANT,,,,The statement pertains to the use of drones in a domestic context.,435f1c1abb2f88f3dd6378d48c2fcfe4
IRRELEVANT,,,,The statement pertains to the use of drones in a domestic context.,bfd09f4a14075f46a4ba74a38de052ad
IRRELEVANT,,,,The statement pertains to the use of drones in a domestic context.,3b434346a28a3aef1aadd6275aeb1882
RELEVANT,DISCLOSURE,NEUTRAL,NEUTRAL,The statement refers to an act that requires prompt report regarding lethal or capture operations including those conducted by unmanned drones. ,ef4e91a1fcd661e2ac9a028de9062578
RELEVANT,REFERENCE,PRO,PRO,"[NON-OBVIOUS] The statement relates to drone technology, but the context in which the speaker considers using drones is unclear. If the speaker is talking about civilian or surveillance drones, the statement should be classified as IRRELEVANT.",cf3b075f27015a367b66feeaa5a35e0a
IRRELEVANT,,,,"The statement mentions how drones are new technology, but the speaker seems to refer to surveillance drones instead of lethal ones.",44c75048b18af282348da575a03c0cc8
RELEVANT,DOMESTIC-LEGALITY,NEUTRAL,NEUTRAL,The statement calls for transparency and clear legal justification in conducting drone strikes.,53eedc72bd9d85fdddf2f99104ba1ebb
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,"[NON-OBVIOUS] The statement mentions lethal drone strikes because the speaker wants to propose an amendment to a defense appropriations bill. In terms of general sentiment, ANTI could be appropriate as she phrases drones with a negative term, ""lethal."" However, it is not a direct criticism of the use of drones in a military context so I put NEUTRAL instead. My justification for general sentiments for the following statements from 77 to 82 is the same.",5805f1331025f4967c4e135092e519b1
RELEVANT,FINANCE,PRO,NEUTRAL,The speaker's sentiment toward drones themselves is somewhat ambiguous. However she makes it clear that drone strikes conducted by a non-member of the Armed Forces should not be funded. This in turn potentially implies that she supports funding for drones as long as they are used by the rightful authority (pro categorical sentiment).,8b3d97d8f3da54983e5a551fd926bdf4
RELEVANT,"FOREIGNPOLICY,HUMANITARIAN","PRO,ANTI",NEUTRAL,"The statement points out that drones can be used for targeted-killing, but also can cause innocent deaths. I put NEUTRAL to general sentiment because she recognizes both pros and cons of drone strikes.",d622f8c1dcd9f1c7ce056339c4aea60f
RELEVANT,DOMESTIC-LEGALITY,NEUTRAL,NEUTRAL,"The statement does not necessarily support or oppose drone strikes. Rather, it emphasizes the significance of legal accountability in conducting drone attacks.",db32541174b752d71fc551c01cb20e10
RELEVANT,DOMESTIC-LEGALITY,NEUTRAL,NEUTRAL,"The statement does not necessarily support or oppose drone strikes. Rather, it emphasizes the significance of legal accountability in conducting drone attacks.",8d877661b5ece260c47a5165c78c5570
RELEVANT,"DOMESTIC-LEGALITY,DISCLOSURE","PRO,PRO",NEUTRAL,The statement discusses the significance of conducting drone strikes with transparency and legal accountability.,a56932b21a28a1dd89d802a9ef3ee9ea
RELEVANT,"DOMESTIC-LEGALITY,DISCLOSURE","PRO,PRO",NEUTRAL,The statement discusses the significance of conducting drone strikes with transparency and legal accountability.,d0b02341a7befb1daf0ea65965860433
RELEVANT,DOMESTIC-LEGALITY,NEUTRAL,ANTI,The statement refers to a targeted drone killing which made people to question whether it is right to do so or not.,3d1e58ec6a2762ca65d37e3b9015a24a
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,The statement refers to how people want to double the number of drones.,22fa393501506c77bb9b2c78a765a22e
RELEVANT,TECHNOLOGY,NEUTRAL,NEUTRAL,The statement explains what an aerial drone is and does.,014ddb231ece8f9e39e2d8352b9e80c7
RELEVANT,REFERENCE,NEUTRAL,PRO,"The statement refers to how the United States plans to cooperate with Nigeria, including sending more drones, to combat Boko Haram. ",dfea176856d029b296d233a541692506
RELEVANT,FINANCE,PRO,PRO,The statement discusses how it supports funding to drones which have been proved to be useful.,bff523c5a2b7f87cafced01bf312412f
RELEVANT,FINANCE,PRO,PRO,The statement discusses how it supports funding to drones which have been proved to be useful.,2eedb0ad01f495da99b144b998809cbe
RELEVANT,"FOREIGNPOLICY,HUMANITARIAN","ANTI,ANTI",ANTI,The statement discusses how drone strikes are ineffective in fighting Pakistan and causes civilian casualties.,067ab63fdb5f7b03b551ace290175244
IRRELEVANT,,,,The statement refers to the use of drones domestically. ,a2eb7db8449446342e252faea2f99580
RELEVANT,FOREIGNUSE,ANTI,,The statement lists China's drone drills as an example of China's increased aggression. I leave general sentiment blank because the statement is not a direct criticism of the use of drones in a military context. ,21ffce1c9bc0d0b7b002f28b693b63c3
RELEVANT,HUMANITARIAN,ANTI,ANTI,The statement talks about an innocent civilian killed in a drone strike.,0479deda92b095f417322fcd7667e434
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,,086d641b37e882387dece3e9d340d977
RELEVANT,"FINANCE,TECHNOLOGY","PRO,PRO",PRO,The statement discusses how state-of-the-art equipments should be available to the military as quickly as possible. The fact that the speaker lists drones as one of these equipments implies that he is favorable of drones. ,b73d1fa77368ea8bd3a22ce19a1aac3e
RELEVANT,"FINANCE,TECHNOLOGY,FOREIGNPOLICY","PRO,PRO,PRO",NEUTRAL,"The statement discusses how an additional financial support to the improvement of technology will be beneficial, including countering (enemy's) drones, to fighting war on terror. ",8f45e674152ee67c300d5e8c40a5930a
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",13996a2a56fd2d2e7417cfb0aa03e618
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Iraq can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his/her attitude toward drones in general is not clear based on the statement.",a5f6f834e73ca97de39ad432ed3b8a07
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,The statement refers to special operation forces provided by foreign countries.,f9f25abb6d684171215caaa0c5fbbd40
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in a military context in general is not clear based on the statement.",de014fef84377585ed59455c6fa12aa3
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam Hussein can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",f628063e04e267dd90be20812c1e59b6
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",313377109949b61e7a42dc1e8952f3c8
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam Hussein can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",a0d52e59a1522205481cb694e08a5c08
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",e0c978b82b0de3377eb2737950ac37b2
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam Hussein can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",dceb1568c08f832d6aaf136238c7a583
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",77d7843761f88d51088af792c02e0c1c
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam Hussein can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",a7fc5a4780fddfc2158c8fdc876ce66c
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",c8f80a9a275377833b930868da9227b2
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam Hussein can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",6dc534a44248764bd0a9552ac7167ad1
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his/her attitude toward drones in general is not clear based on the statement.",6bff16e278fbc37bce4ecab07225f4c9
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam Hussein can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",c02d738459153c71d51d3c1e0fb152bb
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",f5d07bf0b5ab4acc61b6c2dc3c01ae74
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam Hussein can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence her attitude toward drones in general is not clear based on the statement.",6be3bc6a74641127cb623f5b3e935966
RELEVANT,FOREIGNUSE,ANTI,,"The statement refers to drones in the context of discussing Saddam Hussein's disarmament and the U.S. attack against him. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",5fbe4ee55b9d0333f5df3dd64aa50dd0
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam Hussein can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence her attitude toward drones in general is not clear based on the statement.",8678ab603279b8c436e6d87926d21846
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Saddam can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",979386bac16a8545b5adce2acebfb543
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Iraq can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his/her attitude toward drones in general is not clear based on the statement.",fa5906a059cc0a7321a5523cfe747eb8
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Iraq can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",914d12217de65727573acbbdd6f34e48
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Iraq can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",44b1944e1e68fe171993f9506957c9f5
RELEVANT,FOREIGNPOLICY,PRO,PRO,"The statement discusses how U.S. security commitments, including deploying drones to its allies, defend them.",5876dad4ecec5baed41114256243f43c
IRRELEVANT,,,,The statement refers to the use of drones domestically.,6fc546689b92f13c9a8e20997e2217aa
RELEVANT,HUMANITARIAN,ANTI,ANTI,The statement opposes drone strikes because they can cause innocent civilian casualties. ,a06416f573fb200c2d2d9ee07b1d2337
RELEVANT,FOREIGNPOLICY,PRO,PRO,The statement discusses how air strikes including drone attacks can keep U.S. aviators safe.,43027f0d74ba648406293db9b2dd81ce
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,The statement refers to drones possessed by Romania.,6c15bbe179cb135f3cf32c1ef1502d67
IRRELEVANT,,,,The statement mentions drones in a surveillance role.,cf86c0e9bb3d2c3765501e8c25f8054d
RELEVANT,FINANCE,PRO,PRO,The statement mentions funding to advance drones.,f9dcaae51261917c80db07aae0f6a395
RELEVANT,"FINANCE,TECHNOLOGY","PRO,NEUTRAL",PRO,The statement mentions technology that relates to cheap drones.,40bade4809a4692b1ca9637dd81e687a
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,,8fe49282286df06089e62461dfb9083d
IRRELEVANT,,,,The statement relates to drones in a surveillance role.,0b3c35fca32e9d5a0b9b9a2037056d5d
RELEVANT,"FOREIGNPOLICY,FINANCE","PRO,PRO",PRO,The statement refers to drones to demonstrate the necessity of improving other aircraft programs.,6540e65a0b2d9c5d2bca2306ab1ca0af
RELEVANT,"FOREIGNPOLICY,DOMESTIC-LEGALITY","PRO,NEUTRAL",PRO,The statement lists drones as an example that is included in a bill and that contributes to providing national security to the United States.,71b75dc2b9495a2fffb171d086316d25
RELEVANT,FOREIGNPOLICY,PRO,PRO,The statement discusses how drones contribute to protecting U.S. citizens.,07bdd2e564f46f415df897941ad0c322
RELEVANT,FOREIGNPOLICY,PRO,PRO,The statement discusses how drones contribute to protecting U.S. citizens.,9e933fe95f8f0c21a34d0d3c12ac2a6b
RELEVANT,FOREIGNPOLICY,PRO,PRO,The statement discusses how drones contribute to protecting U.S. citizens.,610a8642e29f9bec95f84d4848d6a2e5
IRRELEVANT,,,,The statement refers to drones in a surveillance role.,055f3840e4a555a0ffef57e7e5e6d053
RELEVANT,REFERENCE,PRO,PRO,The statement refers to drones as an example where an operational testing had occurred after deployment.,3335ca726cbf37fcc8ab58dfc5a9ca02
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,The statement refers to drones as an example where an operational testing has occurred after deployment.,249725b0d26bea97c313a2d6cf6c8323
IRRELEVANT,,,,"[NON-OBVIOUS] I initially classified this statement as RELEVANT-FOREIGNPOLICY because it mentions how drones were valuable assets in fighting terrorism. However, after reading a statement from Row 189, which is also a statement by Jon Kyl, it appears that he refers to surveillance drones, not lethal drones. Therefore I back-tracked and reclassified this statement as IRRELEVANT.",2a5ddf7bcae284ac45494c9eb5556427
RELEVANT,"FOREIGNPOLICY,FINANCE","PRO,PRO",PRO,"The statement talks about an earmark for various military programs, including drones, which he/she argues are necessary for national defense.",a6b4f76ace535aca0bf2071fa3345a97
RELEVANT,FOREIGNUSE,ANTI,,"The statement discusses how drones possessed by Iraq can pose security challenges to the United States. I leave general sentiment blank because the speaker talks about drones possessed by an enemy, and hence his attitude toward drones in general is not clear based on the statement.",5adec567667a499274c9f426aaf3ed94
RELEVANT,FOREIGNUSE,ANTI,,The statement describes two contradictory reports on the role of Iraqi drones.,5e59283f28dc1b2860d5c7e978cfdf8d
RELEVANT,FOREIGNUSE,ANTI,,"The statement refers to drones as an example where reports the United States received turned out to be false (blank for general sentiment). However, the speaker mentions that drones can carry hazardous biological and chemical material to the United States (anti categorical sentiment).",5604121ca7e141d7a8df3b550902f34e
RELEVANT,FOREIGNUSE,ANTI,,The statement refers to drones as an example where reports the United States received turned out to be false (blank for general sentiment). The speaker's phrasing of drones is rather neutral compared to other statements (neutral categorical sentiment).,10c54f78832ba29a48f5a11c2a2c1f7f
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,The statement mentions drones in a context of referencing a gentleman.,2b5de0914a9836ce87323caf74727108
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,The statement mentions drones in referencing a book written by an ambassador.,1661d323ceee3c1358b7a04e7c0c8689
RELEVANT,REFERENCE,ANTI,ANTI,"The statement mentions drones in discussing what the book (book introduced in statement 144) is about, and phrases them with negative terms such as ""targeted"" and ""war on terror.""",3d79328fb33e08e8b26d5867d79f7388
RELEVANT,"FOREIGNPOLICY,HUMANITARIAN","ANTI,ANTI",ANTI,The statement discusses how drone strikes causes innocent civilian casualties and stirs sympathy for terrorists.,f7c9741d71e1a2f31c63f6cb6629dd3b
RELEVANT,REFERENCE,ANTI,ANTI,The statement mentions drones in addressing the necessity to reconsider the future of drone.,335c33ff03c5b10a4599bd68fac258dd
IRRELEVANT,,,,The statement discusses using drones in a domestic context of securing border. ,8da5d3bdd2c1f637c4a0f4e9a2a71f09
RELEVANT,"FOREIGNPOLICY,FINANCE","PRO,PRO",PRO,The statement discusses how the government can use its budget more efficiently by funding drones instead of manned jet fighters. ,0cac1a8f2c95c4676b1271ba073eaadf
RELEVANT,REFERENCE,PRO,PRO,"The statement refers to a man who made the Predator, which has proven valuable in fighting the Middle East.",8894b36938f61b51bd84372fa2c0c90d
RELEVANT,"INTERNATIONAL-LEGALITY,DOMESTIC-LEGALITY,DISCLOSURE,HUMANITARIAN","ANTI,NEUTRAL,PRO,ANTI",ANTI,The statement discusses how the United States has failed to comply with international law by not providing the information it should have.,03de71840e4f22ed36c8ed2979be1164
