last_name,congress,loyalty,sex,party_code,date,dim_2,id,dim_1,first_name,title,state,periphery,statement,party,unsigned_periphery
Hastings,108,0,1,100,2004-05-14,0.16,6c086b1f3cb3fa874939b8d9ed3b3ffe,-0.567,Alcee,DEPLORING ABUSE OF PERSONS IN UNITED STATES CUSTODY IN IRAQ,FLORIDA,1.6590793022727994,"Third, I would have supported a resolution that loudly and strongly decried the fact that for too long the information regarding the abuses in Iraqi prisons was in the hands of military higher-ups who did not deem the oversight responsibilities of Congress important enough for them to bring the matter forward. Congress was not notified of the problems at Abu Ghraib prison, even though the Department of Defense had a report outlining the conditions there at least 3 months ago.",1,
,110,0,,,2007-10-03,,99260a6544fc849b94af9867ad74017e,,,MEJA EXPANSION AND ENFORCEMENT ACT OF 2007,,,"In one example, unfortunately, 17 pending cases of detainee abuse, including the abuse at Abu Ghraib prison by contractors, has remained in the U.S. Attorneys Office for the Eastern District of Virginia for 3 years. We are not told why these cases against civilian contractors have not been prosecuted or why they are being held up. In comparison, since the invasion of Iraq, there have been more than four dozen courts-martial commenced against uniformed personnel with respect to the law of war issues.",,
Markey,108,0,1,100,2004-06-25,-0.464,4870791e5f49c1634f583ac715387594,-0.498,Edward,THE 2004 INTERNATIONAL DAY IN SUPPORT OF VICTIMS OF TORTURE,MASSACHUSETTS,1.16312543992605,"Even more tragically, the world has seen in the past few months that the United States is not as firmly placed as it should be among those nations that abhor and fully reject torture. The prison abuses at Abu Ghraib have disappointed all Americans. Although President Bush has asserted that ``the values of this country are such that torture is not a part of our soul and our being'' much of the world remains skeptical about the Bush administration's commitment to repudiation of torture in light of the recent revelations about internal administration legal memoranda which attempted to carve out broad exemptions from domestic and international prohibitions on torture based on the Presidential power as Commander-in-Chief.",1,
Leahy,109,0,1,100,2006-09-27,-0.15,0a3b5802d5362f6b0aef62f321e38593,-0.375,Patrick,MILITARY COMMISSIONS ACT OF 2006,VERMONT,0.27903377226445264,"In that regard, I am disturbed that the legislation before us narrows the scope of the War Crimes Act to exclude certain violations of the Geneva Conventions and, perhaps more disturbingly, to retroactively immunize past violations. Neither the Congress nor the Department of Defense had any problem with the War Crimes Act as it now stands when we were focused on using it to prosecute foreign perpetrators of war crimes. I am concerned that this is yet another example of this administration overreaching, disregarding the law and our international obligations, and seeking to immunize others to break the law. It also could well prevent us from prosecuting rogues who we all agree were out of line, like the soldiers who mistreated prisoners at Abu Ghraib.",1,
,108,0,,,2004-06-23,,3cd781dc46dc296af0ece17de3518974,,,INTELLIGENCE AUTHORIZATION ACT FOR FISCAL YEAR 2005,,,"(a) Findings.--The Congress finds the following:       (1) Throughout the 1980s and 1990s, the people of the      United States were too often brutalized again and again by      deadly terrorist violence, as evidenced by the hundreds of      American deaths in the Beirut and Lockerbie bombings, the      attack on the World Trade Center in 1993, the destruction of      the Khobar Towers military barracks, the bombing of the      American embassies in Kenya and Tanzania, and the vicious      attacks on the USS Cole in 2000.       (2) The terrorist violence targeted against the United      States became more emboldened after each attack, culminating      in the deadly attacks on the World Trade Center and the      Pentagon on September 11, 2001, which killed thousands of      innocent Americans, including innocent women and children.       (3) Since September 11, 2001, the citizens of the United      States have remained the priority target of terrorist      violence, with journalists and employees of non-governmental      organizations being held hostage, tortured, and decapitated      in the name of terror.       (4) Congress has authorized the President to use all      necessary and appropriate means to defeat terrorism ; and on      numerous occasions since September 11, 2001, and throughout      the Global War on Terror, the interrogation of detainees has      yielded valuable intelligence that has saved the lives of      American military personnel and American citizens at home and      abroad.       (5) The interrogation of detainees has also provided highly      valuable insights into the structure of terrorist      organizations, their target selection process, and the      identities of key operational and logistical personnel that      were previously unknown to the Intelligence Community.       (6) The lawful interrogation of detainees is consistent      with the United States Constitution.       (7) The abuses against detainees documented at Abu Ghraib      prison in Iraq were deplorable aberrations that were not part      of United States policy and were not in keeping with the      finest traditions of the United States military and the      honorable men and women who serve.        (8) The loss of interrogation-derived information would      have a disastrous effect on the Nation's intelligence      collection and counterterrorism efforts and would constitute      a damaging reversal in the Global War on Terror during this      critical time.       (9) The apprehension, detention, and interrogation of      terrorists are essential elements to successfully waging the      Global War on Terror.       (10) The interrogation of detainees can and should continue      by the United States within the bounds of the United States      Constitution and the laws of the United States of America.       (b) Sense of Congress.--It is the sense of Congress that      the apprehension, detention, and interrogation of terrorists      are fundamental to the successful prosecution of the Global      War on Terror.",,
,108,0,,,2004-05-20,,e3f52f20d2c551168f836c2fd8ade231,,,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2005,,,"I'm also in favor of provisions in the bill establishing new rules for the interrogation of prisoners and commending the actions of Joseph Darby, the brave soldier who first notified authorities of the prisoner abuse at Abu Ghraib prison.",,
McDermott,108,0,1,100,2004-06-02,-0.197,94c1918f2aa2380ddbfbc95e4b54a986,-0.666,Jim,REASONS WHY ADMINISTRATION HAS TO GO,WASHINGTON,2.370665278683354,"The International Red Cross has been trying to get into other U.S. prison facilities in Iraq besides Abu Ghraib, but the Red Cross has been denied access. What else is yet to be discovered? Why is the military stamping ``secret'' on its activities in U.S. prisons in Iraq? The AP says evidence of abuse has surfaced in at least three other detention facilities in Iraq. ``Secret'' is what the administration and its civilians in charge at the Pentagon are saying.",1,
Craig,108,1,1,200,2004-05-06,-0.014,b8a77fc3393b4cc6cfc4ea763be5ff72,0.494,Larry,DEMOLISHING ABU GHRAIB PRISON,IDAHO,0.33811212533687846,"Whereas the Abu Ghraib prison was used by Saddam Hussein to execute and torture thousands of men, women and children;",0,
Hatch,109,1,1,200,2005-02-01,-0.014,0c70214e43a071ddd80e3a691c204a91,0.383,Orrin,EXECUTIVE SESSION,UTAH,-0.35386763922540948,"Congress takes this oversight role very seriously. I was a cosponsor to S. Res. 356, which we passed last May, condemning the abuse of Iraqi prisoners at Abu Ghraib prison, urging a full and complete investigation to ensure justice is served, and expressing support for all Americans serving nobly in Iraq.",0,
,108,0,,,2004-06-04,,e77e7529dbd92d8a439b3fb01f1cc23d,,,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2005,,,"I urge my colleagues to meet with these seven Iraqis, to view the videotapes that showed what happened in those days under Saddam Hussein. This was Abu Ghraib prison not long ago. As we look at the unfortunate actions at Abu Ghraib, as our military proceeds to investigate and take actions about our failures there, I urge my colleagues to reflect on the liberation of Abu Ghraib and to gather some perspective. Nothing we can say makes what happened in Abu Ghraib by our soldiers right. It was wrong. It cannot be justified. Our Nation was humiliated, and it occurred under our watch.",,
Woolsey,111,1,0,100,2009-03-10,-0.529,e683cc7d86db9e9e8b5cb15e86c45192,-0.556,Lynn,END OCCUPATION OF IRAQ,CALIFORNIA,1.5800141937827386,"I also raised my voice over and over again to decry the other tragic consequences of the occupation, which included the tragic loss of over 100,000 American and Iraqi lives, the refugee crisis, the torture at Abu Ghraib and elsewhere, the shabby treatment of our veterans at Walter Reed, the ``Mission Accomplished'' and weapons of mass destruction fiascos, the manipulation of intelligence to create a false cause for war, the cynical use of the 9/11 tragedy to justify military action against Iraq that the Bush administration had been planning all along, the scandal of sending our troops into battle without proper body armor and the terrible damage to our Nation's moral standing and reputation in the world.",1,
,108,0,,,2004-09-10,,5680e4602a8602a8af83e19c070abdb4,,,THE ADMINISTRATION'S INCOMPETENCE ON IRAQ,,,"The civilian leaders at the Pentagon also had ample warnings from outside the Army, which they also ignored. The International Committee of the Red Cross reported on abuses in the prisons as early as May 2003, soon after the fall of Baghdad. During a visit to Abu Ghraib 5 months later, in October 2003, Red Cross inspectors were so upset by what they found that they halted their visit and demanded an immediate explanation from U.S. military authorities. Yet the worst abuses at the prison occurred over the next 3 months, from October to December of that year.",,
,109,0,,,2005-07-25,,96ea9bb50b8ee3af3ccee9095a062af0,,,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2006,,,"Mr. President, I will share a little bit of the history of what has happened, as I recall it. I am sorry, I just got back from Alabama and was not able to participate earlier in the debate. We have had maybe 29 hearings involving prisoner abuse. That is a lot of hearings. I serve on the Judiciary and Armed Services Committees. Probably 20 of those have been in those 2 committees of which I have been a member and tried to participate as much as I could in each one of them. I remember that the U.S. military announced they had problems in Abu Ghraib with prisoner abuse. They indicated they were conducting an investigation of it. Members of the Senate, like dogs that chase a car down the road, sometimes I thought they thought they were making the car go because they were chasing it.",,
Feinstein,108,0,0,100,2004-05-10,-0.188,d89e7f57d047fadd2ec3ad06bf4dd807,-0.263,Dianne,CONDEMNING ABUSE OF IRAQI PRISONERS,CALIFORNIA,-0.52599278690708318,"I believe that such an investigation is necessary and should be undertaken as soon as possible. We need to know why the Geneva Convention appears to have been ignored. We need to understand how such a debacle could have happened, and what orders were given by who, and when, which governed the prison at Abu Ghraib. We need to know why the reports of the Red Cross and others were not responded to in a comprehensive and timely manner. And why was this problem concealed for months from the Congress and the American people.",1,
Goss,108,1,1,200,2004-05-19,-0.394,e3551e8f16c88f685a9a96e6bbdfdeae,0.421,Porter,"PROVIDING FOR CONSIDERATION OF H.R. 4200, NATIONAL DEFENSE 
                 AUTHORIZATION ACT FOR FISCAL YEAR 2005",FLORIDA,-0.11697366577165337,"In addition, the Defense Authorization Act maintains the oversight ability of the Congress. The limited, but nonetheless damaging, instances of prisoner abuse at Abu Ghraib will be dealt with transparently and fairly to show the world that free societies respect civilized standards and enforce them.",0,
Lantos,108,0,1,100,2004-05-19,-0.033,11a3e5e9ea333548786647f46da496d2,-0.376,Tom,A TRIBUTE TO ASIAN PACIFIC AMERICAN HERITAGE MONTH,CALIFORNIA,0.28622150939991281,"This month we celebrate the many Asian and Pacific Islander cultures that enrich our community. The Asian Pacific American community is quite diverse and includes some two-dozen distinct ethnic groups who came to this country from around the world. Their diverse cultures come together under a common umbrella and their presence in my community adds a wonderfully distinct flavor. I would be remiss to selfishly consider the impact on San Francisco and San Mateo alone, because the nation as a whole have benefited from the assimilation of the Asian Pacific American population.   We know the architecture of I. M. Pei and Maya Lin, we see the reporting of Connie Chung and Ann Curry, we listen to the music of Yo Yo Ma, we watch the movies of Lucy Liu and Pat Morita, we cheer Kristi Yamaguchi and Greg Louganis at the Olympics.   Our lives have been made easier with companies like Yahoo! Inc. and Computer Associates, founded by Jerry Yang and Charles Wang, respectively. George Artani wanted to make a better stereo system and succeeded when he founded, now the most popular electronics producer, Kenwood. Military life has also proven conducive to many in the community, and many have excelled. Major General Antonio Taguba exposed the Abu Ghraib prison abuse scandal, and General Eric K. Shinseki became the Chief of Staff for the Army in 1999.   The advanced strides can be measured in the heights reached by the public officials. In government we depend on the leaders like San Francisco Supervisor Fiona Ma, our distinguished colleagues in the Senate, Daniel Inouye and Daniel Akaka, U.S. Secretary of Transportation Norman Mineta, and here in the House of Representatives, my good friends from California, Robert Matsui and Mike Honda. Sec. Mineta also represented California for 20 years before becoming the first Asian American to be appointed to a cabinet-level position when he was appointed Secretary of Commerce by President Clinton.   Our appreciation of their culture has come full circle. Today we celebrate, but in the not too distant past, racist and nativist sentiments met the newest immigrants with severe prejudice. Many who came faced strict quotas and unfair immigration laws, and suffered horrible prejudice and barbarous discrimination.   Following the attack on Pearl Harbor, we interned 114,000 persons of Japanese descent, whether or not they were citizens. In San Francisco, 7,800 Japanese Americans were rounded up, taken to the Tanforan Racetrack in San Bruno and housed in the stables. ``Relocation Camps'' were built, but as President Roosevelt's Secretary of the Interior Harold Ickes described them, they were nothing more than concentration camps.   Although interned by their country, many Japanese heroes fought for the freedom that their government took from them. The 442nd Regimental Combat Team was a regiment made up of persons of Japanese descent from the continental U.S. and Hawaii. The unit became the most decorated unit for its size in U.S. history. The Honorable Daniel Inouye earned the Medal of Honor fighting for the 442nd.   The Tydings-McDuffie Act of 1934 gave the Philippines its independence, but reclassified Filipinos as aliens rather than citizens, and reduced the amount of people who could legally immigrate to 50 per year. President Roosevelt used the Tydings-McDuffie Act to conscript the Filipino army into service against Japan. After fighting so courageously for our government, in 1946 Congress denied them the benefits that all other veterans received, especially disabled veterans. Today I am trying to correct this injustice and have cosponsored H.R. 664 to give Filipino Americans residing as a legal alien, or citizens of the U.S. the same health and pension benefits that all other veterans of World War II receive.   Since 1977, the month of May has been set aside to celebrate Asian Pacific American Heritage Month. This is the time that we can renew our focus on the problems that face the Asian Pacific American community, problems like affordable housing, immigration concerns, and racial profiling, and we can celebrate the accomplishments of the community.   I would like to thank my colleague Mr. Mike Honda for his leadership on the Congressional Asian Pacific American Caucus, and on H.R. 56, supporting the goals of the Japanese American, German American and Italian American communities in recognizing of a National Day of Remembrance, of which I am also a cosponsor.   Their vibrant community and array of perspectives have been firmly woven into the fabric of America. I am extremely proud to serve so many Asian Pacific Americans as their Congressman.",1,
Boxer,109,0,0,100,2006-04-06,-0.423,e20d2d2e06666a1e2921555a199d830c,-0.45,Barbara,HONORING OUR ARMED FORCES,CALIFORNIA,0.81811405742396337,"LCpl Michael S. Probst, 26, died February 14 from an improvised explosive device while conducting combat operations near Abu Ghraib. He was assigned to 1st Tank Battalion, 1st Marine Division, Twentynine Palms, CA. During Operation Iraqi Freedom, his unit was attached to the 2nd Marine Division. He was from Irvine, CA.",1,
Byrd,108,0,1,100,2004-10-04,0.729,49a8062b7376a620b45cd786392747a6,-0.309,Robert,NATIONAL INTELLIGENCE REFORM ACT OF 2004,WEST VIRGINIA,-0.19535687867591672,"We are being pressured to act fast before we go home on October 8. I cannot imagine Senators condoning such sweeping budget transfer authority. Common sense and history suggest that if one man is given control of our intelligence agencies and one man is given control over funds appropriated to those agencies, abuses can occur, may occur, and in all probability will occur at some point in time. Those abuses may manifest themselves in the violations of civil liberties, your liberties. They may manifest themselves in scandals such as those at Abu Ghraib prison, or they may manifest themselves as they did in the lead-up to the war in Iraq through politicized intelligence. Therein lies a great danger.",1,
Markey,108,0,1,100,2004-10-07,-0.464,489fc857fdc553fd098ad369edf9c125,-0.498,Edward,9/11 RECOMMENDATIONS IMPLEMENTATION ACT,MASSACHUSETTS,1.16312543992605,What was added to the bill? Dozens of pages of extraneous material that have nothing to do with anything that the 9/11 Commission recommended. The underlying bill actually contains a provision that would authorize the outsourcing of torture and limit any judicial review of this process! That's right--in this bill--H.R. 10--the House Republican leadership would actually make it easier for certain foreign persons to be sent to countries where they would be tortured in interrogations. I call this the Abu Ghraib-by-Proxy provision.,1,
Reyes,108,0,1,100,2004-07-19,0.304,1628979cfdc5e6ab6256df2aa56b0d85,-0.321,Silvestre,REGARDING NATIONAL SECURITY PRIORITIES AND THE REAL WAR ON TERROR,TEXAS,-0.10910403305039496,"It is imperative, Mr. Speaker, that we live to the same standard that we expect other nations to abide by in the horrific event that they capture our soldiers. I am disappointed that the Republicans on the House Committee on Armed Services would prefer to have this resolution passed through our committee in the House rather than a resolution seeking the truth about what occurred at Abu Ghraib.",1,
Dodd,110,0,1,100,2008-02-11,-0.317,efad4c6511563c2e5b3ad5438374a665,-0.328,Christopher,FISA,CONNECTICUT,-0.058789873102173915,"Supporters argue the legislation is needed to avoid unfair      punishment of private firms that took part in good-faith      efforts to assist the government.       In arguing in favor of such protections earlier this month,      President Bush said any legislation ``must grant liability      protection to companies who are facing multibillion dollar      lawsuits only because they are believed to have assisted in      the efforts to defend our Nation following the 9/11      attacks.''       The head of the intelligence panel, Sen. John D.      Rockefeller, made a similar argument after the bill was      approved last week. ``The onus is on the administration, not      the companies, to ensure that the request is on strong legal      footing,'' he said.       Jeffrey H. Smith, a CIA general counsel during the Clinton      administration who now represents private companies in the      national security area, said the risk of litigation poses      an unfair threat to government officials or others who      have good reason to believe they are acting legally. He      noted that many intelligence officers now feel obliged to      carry liability insurance.       ``It seems to me that it's manifestly unfair for the      officers that conducted that program and the telecoms to now      face prosecution or civil liability for carrying out what was      on its face a totally lawful request on the part of the      government,'' Smith said. ``It's not the same as Abu Ghraib      or a CIA officer who beats someone during an interrogation.''       But civil liberties groups and many academics argue that      Congress is allowing the government to cover up possible      wrongdoing and is inappropriately interfering in disputes the      courts should decide. The American Civil Liberties Union last      campaigned against the proposed Senate legislation, saying in      a news release Friday that ``the administration is trying to      cover its tracks.''       Sen. Russell Feingold said in a statement last week that      classified documents provided by the White House ``further      demonstrate that the program was illegal and that there is no      basis for granting retroactive immunity to those who      allegedly cooperated.'' His office declined to elaborate on      the records, which were reviewed by a Feingold staffer.       Retired Rear Adm. John Hutson, dean and president of the      Franklin Pierce Law Center in Concord, N.H., said he is      concerned about the precedent a new immunity provision might      set.",1,
Reyes,109,0,1,100,2006-06-15,0.304,c546e2db45ef542251fe3eaeadd6ae72,-0.321,Silvestre,ALLOCATING CONTROL OF TIME ON H. RES. 861,TEXAS,-0.10910403305039496,"Oversight, oversight, oversight. Where was our armor, both body armor and vehicle armor? What was our plan post ``Mission Accomplished'' press conference? Where were we during the issue of Abu Ghraib rendition and so many other things that have come up?",1,
Harkin,109,0,1,100,2006-09-06,-0.546,2b9c745ae556a585d9e85eaf532c5891,-0.351,Thomas,"DEPARTMENT OF DEFENSE APPROPRIATIONS ACT, 2007--Continued",IOWA,0.10652808101340909,"The remarkable thing about the debacle in Iraq is that nobody, aside from a few privates and sergeants, has been held accountable or dismissed. Isn't it the truth? It is always the grunts, it is always the noncoms and the privates who get the raw end of the deal. They were the ones who were thrown in prison for the scandals at Abu Ghraib. What about the people above them? No one is ever held accountable above them.",1,
Leahy,108,0,1,100,2004-10-01,-0.15,edc8f7fb955ca0efc13e547628936ca0,-0.375,Patrick,ABUSE OF FOREIGN DETAINEES,VERMONT,0.27903377226445264,"How did these techniques, which were rescinded by Secretary Rumsfeld in January 2003 become so prevalent in Iraq? The Fay report states it flatly: ``Concepts for the non-doctrinal, in-field manual approaches and practices clearly came from documents and personnel in Afghanistan and Guantanamo.'' Ultimately, the ``non-doctrinal'' approaches used at Abu Ghraib included nakedness and humiliation, the use of dogs to ``fear up'' detainees, and sexual and physical assaults. These approaches migrated to Iraq a number of ways, any of which might have been prevented by clear statements of policy from the top. Members of the 519th Military Intelligence Battalion served at Bagram Air Force Base in Afghanistan in 2002. Some of these soldiers have been implicated in the deaths of the two prisoners at Bagram. A number of soldiers from the 519th were sent to Iraq, and some of those have been implicated in the Abu Ghraib abuse scandal. As we all know, military intelligence played a major role in directing and carrying out the abuses at Abu Ghraib.",1,
Leahy,108,0,1,100,2004-07-22,-0.15,2203c9e6da6eba2fa31cde18fdecf1d0,-0.375,Patrick,ATTEMPTS TO OBTAIN ADMINISTRATION MEMORANDUMS,VERMONT,0.27903377226445264,"These memos, which may have governed official action for nearly two years, are of particular concern because so much of what is happening in detention centers remains hidden. In addition to Abu Ghraib in Iraq, Bagram in Afghanistan, and Guantanamo Bay, several shadowy detention centers are operated by the intelligence agencies or possibly the military, some under total secrecy. A report on secret detentions was released on June 17, 2004, by Human Rights First, a non-profit research and advocacy organization formerly called the Lawyers Committee for Human Rights. This report raises many important questions on the issue of foreign prisons. I will ask unanimous consent that the introduction be printed in the Record. The report, Ending Secret Detentions, describes a number of officially undisclosed locations that sources--typically unnamed government sources quoted in the press--have described as detention centers for terrorism suspects. These sources have discussed facilities in Iraq, Afghanistan, Pakistan, Jordan, Diego Garcia, and on U.S. war ships. The ICRC has not been allowed to visit these facilities. It issued a public statement in March expressing its growing concern over ``the fate of an unknown number of people captured . . . and held in undisclosed locations.'' To date, its requests for access to the prisons have been denied.",1,
Dodd,110,0,1,100,2008-02-11,-0.317,8757fb334c35a44c54c5bd96c4d77b1d,-0.328,Christopher,FISA,CONNECTICUT,-0.058789873102173915,"So tomorrow we may have the chance--40 of us--to not invoke cloture and to insist that we are going to fight for this principle of the rule of law and not add to this litany that is going to be revisited over and over again: the Military Commissions Act, waterboarding, Abu Ghraib, Guantanamo Bay, secret prisons, extraordinary renditions, U.S. attorneys scandal, Scooter Libby, destruction of CIA tapes. How many more do you need? Why not add this: retroactive immunity to the telecom industry, at the request of a President who did not want the courts to determine the legality or illegality of the actions?",1,
Feinstein,110,0,0,100,2007-07-16,-0.188,ac6e7ebdcb3db0d064de36faee4886bf,-0.263,Dianne,GUANTANAMO BAY,CALIFORNIA,-0.52599278690708318,"One can say, well, Guantanamo is no Abu Ghraib, and I would most likely agree with that--today. There have been allegations of inappropriate behavior in terms of interrogation techniques, no question about that. I assume that is corrected now. But it still looms out there as a way the United States has of not allowing these prisoners to face justice. It is one thing if you are a terrorist; it is another thing if you are in the wrong place at the wrong time, if you are swept up, if you are put in either a cage or a cell at Guantanamo, and if you stay there year after year after year with no recourse. That is a stain on American justice. We criticize the Chinese for their form of administrative detention, and yet here we practice a similar thing.",1,
Woolsey,109,0,0,100,2006-03-16,-0.529,f17606addba122cf64697e0601fe6ba3,-0.556,Lynn,THIRD ANNIVERSARY OF THE IRAQ WAR,CALIFORNIA,1.5800141937827386,"The unspeakable, despicable acts of torture that took place at Abu Ghraib have robbed us of our moral authority. The very foundations of freedom have been threatened by the PATRIOT Act and the President's defiance of the rule of law on domestic surveillance.",1,
McCain,109,1,1,200,2005-10-05,-0.621,590c74517ee5734fa77bc882c56d1856,0.382,John,"DEPARTMENT OF DEFENSE APPROPRIATIONS ACT, 2006--Continued",ARIZONA,-0.36010169115840307,"Dear Senator McCain: I have read your proposed amendment to      the Defense Appropriations Bill concerning the use of the      Army Field Manual as the definitive guidance for the conduct      of our troops with respect to detainees. I have also studied      your impressive statement introducing the amendment.       I fully support this amendment. Further, I align myself      with the letter written to you by General Shalikashivili and      a distinguished group of senior officers in support of the      amendment.       Our troops need to hear from the Congress, which has an      obligation to speak to such matters under Article I, Section      8 of the Constitution. I also believe the world will note      that America is making a clear statement with respect to the      expected future behavior of our soldiers. Such a reaction      will help deal with the terrible public diplomacy crisis      created by Abu Ghraib.           Sincerely,                                                     Colin Powell.",0,
