relevant,restraining,CATEGORICAL_SENTIMENT_DISCLOSURE,k_relevant,CATEGORICAL_SENTIMENT_JOBS,house,sex,CATEGORY_FOREIGNPOLICY,days_since_strike,last_name,CATEGORICAL_SENTIMENT_REFERENCE,CATEGORICAL_SENTIMENT_FOREIGNUSE,seniority,CATEGORY_PTSD,dim_2,id,dim_1,first_name,CATEGORY_DISCLOSURE,k_sentiment,icpsr,title,CATEGORICAL_SENTIMENT_FOREIGNPOLICY,general_sentiment,CATEGORICAL_SENTIMENT_PTSD,state,106_seniority,CATEGORICAL_SENTIMENT_INTERNATIONAL-LEGALITY,statement,CATEGORICAL_SENTIMENT_FINANCE,party,CATEGORY_REFERENCE,filibuster,CATEGORY_INTERNATIONAL-LEGALITY,CATEGORICAL_SENTIMENT_DOMESTIC-LEGALITY,CATEGORY_HUMANITARIAN,congress,days_until_term_ends,loyalty,CATEGORY_JOBS,CATEGORY_DOMESTIC-LEGALITY,date,state_code,dronebase,categories,CATEGORY_FOREIGNUSE,CATEGORY_TECHNOLOGY,CATEGORY_FINANCE,periphery,CATEGORICAL_SENTIMENT_TECHNOLOGY,CATEGORICAL_SENTIMENT_HUMANITARIAN,k_restraining,strike_recently,votes,unsigned_periphery
1,0,,,,0,1,0,,LIEBERMAN,,-1,7,0,-0.312,a0d52e59a1522205481cb694e08a5c08,-0.205,Joseph,0,,15704,AUTHORIZATION OF THE USE OF UNITED STATES ARMED FORCES AGAINST IRAQ,,,,CONNECT,2,,"But does the Senator agree with me that the biological weapons capacity Saddam has now, if delivered by an unmanned aerial vehicle, could do far more damage--I am talking about death to people--than the kind of primitive nuclear weapon he might have in a year at best, 5 years, 10 years?",,1,0,0,0,,0,107,1548,0,0,0,10/8/02,1,0,{u'FOREIGNUSE': -1},1,0,0,-0.94288154076377151,,,,1,448,0.94288154076377151
0,0,,1,,,,0,12,,,,,0,,cf86c0e9bb3d2c3765501e8c25f8054d,,,0,1,,EARMARK DECLARATION,,,,,,,"Description of the Request: Requesting $3 million funding for the Unmanned Sense, Track, and Avoid Radar (USTAR) for low rate initial production of an advanced radar system for the Global Hawk unmanned aerial vehicle platform to detect and track large and small targets. USTAR will allow the UAV to identify potential collision risks and increase maneuvering capability in controlled airspace and improve operability in adverse weather conditions.",,,0,0,0,,0,111,,0,0,0,7/29/09,,,{},0,0,0,,,,0,0,,
0,0,,1,,0,1,0,26,PAUL,,,2,0,-0.5,59df9ebb3a9bd175e19bff1be0517553,0.866,Rand,0,-1,41104,BRENNAN NOMINATION,,,,KENTUCK,2,,"I am not here to argue and say that you get due process in a battlefield. I am here to argue that we cannot let America be a battlefield because we cannot say that we are no longer going to have due process, that we are no longer going to have trial by jury, that we are no longer going to have presentment of charges and grand juries. It is impossible in a battlefield. In Afghanistan, it is impossible to say: Hey, wait a minute, can I read you your Miranda rights? It is impossible. We are not arguing for that. We are not arguing for a judge or a jury or anything else. If people are shooting at our troops, they can do everything possible, including drone strikes. It is not even the technology so much that I am opposed to, but the technology opens doors that we need to be concerned with.",,0,0,1,0,,0,113,1399,0,0,0,3/6/13,51,1,{},0,0,0,2.6571794444104921,,,1,0,537,2.6571794444104921
0,0,,1,,,1,0,26,Barrasso,,,,0,,b9290b6df740482dc6233b1d423d5c26,,John,0,-1,,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,,,,WYOMING,,,We are now getting to the crux of the matter: drone strikes inside the United States.,,0,0,0,0,,0,113,2129,0,0,0,3/6/13,,0,{},0,0,0,,,,1,0,,
1,1,,0,,1,0,1,234,HARMAN,,,5,0,-0.12,fd5c891a7188046f9cad69b7a7d65eef,-0.262,Jane,0,,29318,INTELLIGENCE AUTHORIZATION ACT FOR FISCAL YEAR 2004,-1,-1,,CALIFOR,2,,"Number two, hiding WMD. The agents that comprise weapons of mass destruction are exceedingly easy to hide, a point neither the administration nor the intelligence community made adequately clear before the war in Iraq. Five hundred metric tons of bulk chemical agents would fill a backyard swimming pool. Biological agents can be hidden in small vials in private residences. But it is not so easy to hide delivery vehicles like unmanned aerial drones, missiles, or munitions. That none of these other harder-to-hide items has been found is cause for real concern.",,1,0,0,0,,0,108,558,0,0,0,6/25/03,71,2,{u'FOREIGNPOLICY': -1},0,0,0,-0.53318052404254324,,,,0,799,0.53318052404254324
1,0,,0,,0,1,0,199,BYRD,,-1,26,0,0.729,d0d03c8f63ea79f5592a2f31d70ed4e3,-0.309,Robert,0,,1366,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2004,,,,WEST VI,3,,"There is ample evidence that the horrific events of September 11 have been carefully manipulated to switch public focus from Osama bin Laden and al-Qaida who masterminded the September 11 attacks, to Saddam Hussein who did not. The run up to our invasion of Iraq featured the President and members of his Cabinet invoking every frightening image that they could conjure, from mushroom clouds, to buried caches of germ warfare, to drones poised to deliver germ laden death in our major cities. We were treated to a heavy dose of overstatement concerning Saddam Hussein's direct threat to our freedoms. The tactic was guaranteed to provoke a sure reaction from a nation still suffering from a combination of post traumatic stress and justifiable anger after the attacks of 9/11. It was the exploitation of fear. It was a placebo for the anger.",,1,0,0,0,,0,108,1323,0,0,0,5/21/03,56,1,{u'FOREIGNUSE': -1},1,0,0,-0.19535687867591672,,,,0,504,0.19535687867591672
0,0,,1,,,1,0,2,Risch,,,,0,,eab91663440fd042baafde5334cff4c4,,James,0,1,,"RECOGNIZING xCRAFT ENTERPRISES, LLC",,,,IDAHO,,,"xCraft's patent-pending drones are built with lightweight materials that allow for long-range flight and are also capable of flying preprogrammed GPS-enabled flight paths. Notably, the company has designed a drone which has the ability to carry and utilize a smartphone, making it possible to link advanced smartphone technology to an economically priced small drone. In addition, xCraft has been recognized as a leader in the UAV and technology industries for producing one of the fastest racing drones available on the market today, exceeding speeds of 100 miles per hour. This continuous innovation and reinvention adds an immense value to the numerous and diverse industries that drones play a major role in, helping to drive the entire American economy forward.",,0,0,0,0,,0,115,1432,1,0,0,2/1/17,,0,{},0,0,0,,,,0,1,,
1,0,,0,,1,1,0,465,INSLEE,,-1,4,0,-0.194,5e59283f28dc1b2860d5c7e978cfdf8d,-0.33,Jay,0,,29937,IRAQ WATCH,,,,WASHING,3,,"According to this article, let me tell the gentlemen what the United States Air Force was telling the President of the United States. What it said was: ``The Air Force does not agree that Iraq is developing UAVs, unmanned aerial vehicles, primarily intended to be delivery platforms for chemical and biological warfare, CBW agents. The small size of Iraq's new UAV strongly suggests a primary role of reconnaissance, although CBW delivery is an inherent capability.'' We were told that Iraq was developing these weapons that could fly over Philadelphia and spray biological and anthrax over it when the Air Force was telling the President of the United States they did not believe that was the case.",,1,0,0,0,,0,108,327,0,0,0,2/11/04,73,1,{u'FOREIGNUSE': -1},1,0,0,-0.044414398831253615,,,,0,841,0.044414398831253615
1,0,,0,,1,1,0,9,EVERETT,0,,8,0,0.528,086d641b37e882387dece3e9d340d977,0.414,Terry,0,,29300,EARMARK DECLARATION,,0,,ALABAMA,5,,Title: Gunfire Detection System for Unmanned Aerial Vehicles.,,0,1,0,0,,0,110,225,1,0,0,5/23/08,41,1,{u'REFERENCE': 0},0,0,0,-0.16061202930260851,,,,0,1290,0.16061202930260851
0,0,,1,,0,1,0,26,PAUL,,,2,0,-0.5,336a91e3bb830ba98bde82349d952dea,0.866,Rand,0,-1,41104,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,,,,KENTUCK,2,,Or is it never okay to drone strike an-- American citizen to death here in America? It's an easy question. Answering it wouldn't jeopardize national security in any way. So why do Obama administration officials keep dodging it?,,0,0,1,0,,0,113,1399,0,0,0,3/6/13,51,1,{},0,0,0,2.6571794444104921,,,1,0,537,2.6571794444104921
0,0,,1,,0,1,0,26,CRUZ,,,1,0,-0.196,5c73bb375018332c96a11a91165b7e32,0.858,Ted,0,-1,41304,BRENNAN NOMINATION,,,,TEXAS,1,,"At the hearing this morning, Attorney General Holder was asked about the letter he sent the Senator in which the Senator asked him whether the U.S. Government could use a drone strike to kill a U.S. citizen on U.S. soil. As the Senator knows, Attorney General Holder responded in writing he could imagine a circumstance where that would be permissible. The two examples he gave were: No. 1, Pearl Harbor; and No. 2, the tragic attacks on this country on September 11, 2001. In the course of the hearing, Attorney General Holder was asked for more specifics. In particular, both of those were military strikes on our country with imminent and, indeed, grievous loss of life that flowed from it. Few, if any, disagree that the U.S. Government may act swiftly to prevent a military attack which would mean immediate loss of life. The question Attorney General Holder was asked three different times was whether the U.S. Government could take a U.S. citizen, who was suspected of being a terrorist, on U.S. soil, who was not engaged in any imminent threat to life or bodily harm, simply sitting at a cafe--could the U.S. Government use a drone strike to kill that U.S. citizen on U.S. soil.",,0,0,0,0,,0,113,2129,0,0,0,3/6/13,49,2,{},0,0,0,2.6073070289465434,,,1,0,510,2.6073070289465434
1,0,,0,,1,1,0,576,PEARCE,,-1,1,0,0.12,7a62f0c285fda6a2fc292655b70a39d4,0.469,Stevan,0,,20337,INTELLIGENCE GATHERING IN A CONFUSING WORLD,,,,NEW MEX,1,,"We were told Saddam Hussein had unmanned drones that could deliver bio or chemical weapons, and this turned out to be true. We are told by the INC and others that weapons were being shipped to Syria; and Dave Kay confirms that he agrees with that assessment, although the exact nature and amount of the weapons that were shipped to Syria still have to be determined.",,0,0,0,0,,0,108,216,1,0,0,6/1/04,66,2,{u'FOREIGNUSE': -1},1,0,0,0.18226082701203866,,,,0,817,0.18226082701203866
1,0,,0,,0,1,0,332,BIDEN,-1,,16,0,-0.042,07a1a0c24c7f191f47d872d5485fbd48,-0.314,Joseph,0,,14101,"EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR IRAQ AND AFGHANISTAN SECURITY 
  AND RECONSTRUCTION ACT, 2004",,,,DELAWAR,3,,"We are told that Iraq had UAVs--unmanned aerial vehicles--that could drop lethal payloads on our shores--payloads of chemical and biological weapons; that Iraq could weaponize its chemical and biological arsenal in just 45 minutes; that the regime had a clear and present tie to al-Qaida, and they implied that they were complicit in the events of 9/11--none of which I believe to be true. Yet I still voted to go into Iraq because it wasn't about if but when we dealt with this guy.",,1,1,0,0,,0,108,1921,0,0,0,10/1/03,11,0,{u'REFERENCE': -1},0,0,0,-0.15941819299861598,,,,0,491,0.15941819299861598
1,0,,0,,1,1,0,10,WOLF,0,,17,0,-0.213,2d34a5dc08b94893689c827093d7c3b6,0.284,Frank,0,,14869,SIXTH UNANSWERED BENGHAZI QUESTION,,0,,VIRGINI,8,,"According to a CNN report, General Ham told the Aspen audience that by the time an American drone arrived above the U.S. consulate ``the attack on the mission was winding down.'' By that time Ham knew Ambassador Stevens was missing and believed he could have been possibly kidnapped.",,0,1,0,0,,0,113,529,0,0,0,7/23/13,40,1,{u'REFERENCE': 0},0,0,0,-0.97103878059177462,,,,0,1005,0.97103878059177462
1,0,,0,,1,1,0,500,INSLEE,-1,,4,0,-0.194,b768fd32874fd82063d06d4ae519c2f1,-0.33,Jay,0,,29937,"{time} 2230
  MEDICARE PRESCRIPTION DRUG BILL",,,,WASHING,3,,"Let me make one suggestion when we do get to the bottom of this what we are going to find. Let me tell you about a couple of things I have found through my research. There was a statement by the administration, frankly I cannot recall if it was the President or the Defense Secretary that told Americans that Iraq had developed a drone aircraft that was capable and intended to be able to spread biological and chemical weapons, that could fly over America and spread these horrendous materials over the United States of America. Obviously, that is something we should be concerned about and we should do everything we can to prevent. The problem is that the Air Force, the experts in airplanes, had told the administration before they told Americans this information, before they told Americans the information, that these things were made out of balsa wood and almost duct tape and what they were good for is maybe taking pictures. They were not meant for this other nefarious purpose. They had that information and did not share it with us because frankly there was a lot of doubt about this. There was doubt about this. We cannot expect our intelligence service to be 100 percent, but they did not tell us that.",,1,1,0,0,,0,108,292,0,0,0,3/17/04,73,1,{u'REFERENCE': -1},0,0,0,-0.044414398831253615,,,,0,841,0.044414398831253615
0,0,,1,,1,1,0,0,NEWHOUSE,,,1,0,0.218,98d801f90518caba15da51b66f4c9cbb,0.367,Dan,0,1,21556,"TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES 
  APPROPRIATIONS ACT, 2016",,,,WASHING,1,,"The use of unmanned aerial vehicles, or UAVs, has enormous possibilities for our economy, whether it is providing cost-effective means to deliver packages, photographing housing for Realtors, broadcasting sports games, assisting law enforcement with tracking criminals, or providing mobile WiFi hubs for Internet access. However, one vastly underconsidered outcome for UAV technology is that it could potentially transform our Nation's agricultural sector.",,0,0,0,0,,0,114,574,0,0,0,6/9/15,73,1,{},0,0,0,-0.45361247015330697,,,0,1,1120,0.45361247015330697
0,0,,1,,1,1,0,,BISHOP,,,5,0,0.537,65fc74aa8b91e9566a1c3f6391bf4626,-0.289,Sanford,0,1,29339,INTELLIGENCE AUTHORIZATION ACT FOR FISCAL YEAR 2003,,,,GEORGIA,2,,"As is well known from press accounts, unmanned aerial vehicles performed superbly in Afghanistan. With some exceptions in the past, reconnaissance systems flew over or passed the battlefields in a matter of seconds or minutes, and therefore provided only a sort of snapshot of what was going on. Given the time delays in getting that information to our tactical forces, it was extremely difficult to attack mobile targets. What these UAVs provide is persistence, a constant presence. Once targets are detected, UAV's can loiter and track them until an attack can be mounted as demonstrated repeatedly in Afghanistan.",,1,0,0,0,,0,107,163,0,0,0,7/24/02,44,2,{},0,0,0,-0.33911162138511969,,,0,1,656,0.33911162138511969
1,0,,0,,0,1,0,,LIEBERMAN,,-1,7,0,-0.312,313377109949b61e7a42dc1e8952f3c8,-0.205,Joseph,0,0,15704,AUTHORIZATION OF THE USE OF UNITED STATES ARMED FORCES AGAINST IRAQ,,,,CONNECT,2,,"I know the Senator has spent some time considering, and I wonder if you might, to the extent you are able to, discuss matters in an open session as to some of the concerns that I know you and I share about the programs that Saddam Hussein's Iraq has now to develop not just ballistic missiles to carry biological and chemical weapons but unmanned aerial vehicles, some of which are quite small and potentially could threaten not only Saddam's neighbors there in the region but potentially could threaten us, the American people, here in the continental United States.",,1,0,0,0,,0,107,1548,0,0,0,10/8/02,1,0,{u'FOREIGNUSE': -1},1,0,0,-0.94288154076377151,,,,1,448,0.94288154076377151
0,0,,1,,0,1,0,1,GRASSLEY,,,20,0,-0.052,955e6e4e7a13f8f3b95327d1982ed06b,0.34,Charles,0,-1,14226,EXECUTIVE SESSION,,,,IOWA,8,,"Accordingly, after there was disclosure that the FBI was using drones on U.S. soil for surveillance, I questioned Mr. Comey about the extent of that policy. This needs to be addressed by the new director, and I have Mr. Comey's assurance he will review the policy. I will be monitoring this closely, but we need a director in place, and we need to confirm this nomination this week.",,0,0,0,0,,0,113,1254,0,0,0,7/29/13,31,0,{},0,0,0,-0.62193187234413361,,,1,1,552,0.62193187234413361
0,0,,1,,0,1,0,4,REID,,,13,0,0.258,f3df1c0d68b72975d382fef1593b655d,-0.276,Harry,0,1,15054,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2009--Continued,,,,NEVADA,5,,"Creech Air Force Base--named after General Creech who ended his career and his life in Nevada--was named after him, a great military officer. Indian Springs Air Base, it used to be called. It is midway between Las Vegas and the Nevada test site. This facility was going to be closed, until they determined these drones were some of the most important things in the military, and this legislation takes into consideration how important unmanned aerial vehicles are. This legislation helps reinforce special intelligence capabilities within the Army and the Marine Corps. This is a very good piece of legislation, an important step toward rebuilding our Armed Forces and protecting the American people.",,1,0,0,0,,0,110,839,0,0,0,9/16/08,65,2,{},0,0,0,-0.43255220414610124,,,0,1,548,0.43255220414610124
1,0,,0,,,,0,3,,0,,,0,,50d8690a89e1ba990662d9f759af3996,,,0,,,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2013,,0,,,,,"Section 1712A of title 38, United States Code, is amended-- (1) in subsection (a)-- (A) in paragraph (1)-- (i) in subparagraph (A), by striking ``Upon the request'' and all that follows through the period at the end and inserting the following: ``Upon the request of any individual referred to in subparagraph (C), the Secretary shall furnish counseling, including by furnishing counseling through a Vet Center, to the individual-- ``(i) in the case of an individual referred to in clauses (i) through (iv) of subparagraph (C), to assist the individual in readjusting to civilian life; and ``(ii) in the case of an individual referred to in clause (v) of such subparagraph who is a family member of a veteran or member described in such clause-- ``(I) in the case of a member who is deployed in a theater of combat operations or an area at a time during which hostilities are occurring in that area, during such deployment to assist such individual in coping with such deployment; and ``(II) in the case of a veteran or member who is readjusting to civilian life, to the degree that counseling furnished to such individual is found to aid in the readjustment of such veteran or member to civilian life.''; and (ii) by striking subparagraph (B) and inserting the following new subparagraphs: ``(B) Counseling furnished to an individual under subparagraph (A) may include a comprehensive individual assessment of the individual's psychological, social, and other characteristics to ascertain whether-- ``(i) in the case of an individual referred to in clauses (i) through (iv) of subparagraph (C), such individual has difficulties associated with readjusting to civilian life; and ``(ii) in the case of an individual referred to in clause (v) of such subparagraph, such individual has difficulties associated with-- ``(I) coping with the deployment of a member described in subclause (I) of such clause; or ``(II) readjustment to civilian life of a veteran or member described in subclause (II) of such clause. ``(C) Subparagraph (A) applies to the following individuals: ``(i) Any individual who is a veteran or member of the Armed Forces, including a member of a reserve component of the Armed Forces, who served on active duty in a theater of combat operations or an area at a time during which hostilities occurred in that area. ``(ii) Any individual who is a veteran or member of the Armed Forces, including a member of a reserve component of the Armed Forces, who provided direct emergency medical or mental health care, or mortuary services to the causalities of combat operations or hostilities, but who at the time was located outside the theater of combat operations or area of hostilities. ``(iii) Any individual who is a veteran or member of the Armed Forces, including a member of a reserve component of the Armed Forces, who engaged in combat with an enemy of the United States or against an opposing military force in a theater of combat operations or an area at a time during which hostilities occurred in that area by remotely controlling an unmanned aerial vehicle, notwithstanding whether the physical location of such veteran or member during such combat was within such theater of combat operations or area. ``(iv) Any individual who received counseling under this section before the date of the enactment of the National Defense Authorization Act for Fiscal Year 2013. ``(v) Any individual who is a family member of any-- ``(I) member of the Armed Forces, including a member of a reserve component of the Armed Forces, who is serving on active duty in a theater of combat operations or in an area at a time during which hostilities are occurring in that area; or ``(II) veteran or member of the Armed Forces described in this subparagraph.''; (B) by striking paragraph (2); (C) by redesignating paragraph (3) as paragraph (2); and (D) in paragraph (2), as redesignated by subparagraph (C)-- (i) by striking ``a veteran described in paragraph (1)(B)(iii)'' and inserting ``an individual described in paragraph (1)(C)''; and (ii) by striking ``the veteran a preliminary general mental health assessment'' and inserting ``the individual a comprehensive individual assessment as described in paragraph",,,1,0,0,,0,112,,0,0,0,12/12/12,,,{u'REFERENCE': 0},0,0,0,,,,,1,,
0,0,,1,,,,0,124,,,,,0,,e07ae77fc24134ed61faf39bd1e63757,,,0,1,,COMPREHENSIVE IMMIGRATION REFORM ACT OF 2006,,,,,,,"Again, as the Senator from New Hampshire pointed out, he talked about the new technology, and he talked about the unmanned aerial vehicles that we need to get and bring on board. He talked about new kinds of technology, which he pointed out, and which I believe, and as the testimony presents itself, is really effective in developing the virtual wall, the virtual wall of technology, the virtual wall that can provide the security which this Nation needs. I support that. I will support certainly the resources to be able to do it.",,,0,0,0,,0,109,,0,0,0,5/17/06,,,{},0,0,0,,,,0,0,,
0,0,,1,,,1,0,26,Barrasso,,,,0,,041fb569b0a0e8119e1e1439dd7f14e5,,John,0,-1,,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,,,,WYOMING,,,"There is more to the letter, but I would like to take a second to ask Senator Paul if he feels those have been adequately addressed and if he feels he has gotten closer to the solution to the question of, do you believe the President has the power to authorize lethal force such as a drone strike against a U.S. citizen on U.S. soil and without trial? That would be my question to Senator Paul.",,0,0,0,0,,0,113,2129,0,0,0,3/6/13,,0,{},0,0,0,,,,1,0,,
